Stop,StopTranslated,Fish,FishTranslated,BaitRagworm,BaitKrill,BaitPlumpWorm,BaitVersatileLure,BaitSpecial,BaitMooch,BaitSpecialType,BaitSpecialTypeTranslated,BaitMoochType,BaitMoochTypeTranslated,BestBait,BestBaitTranslated,Points,DH,TH,Bite,Hookset,hooksetName,WeatherFairSkies,WeatherClouds,WeatherFog,WeatherSpecial1,WeatherSpecial2,WeatherSpecial3,WeatherClearSkies,WeatherSpecial1Type,WeatherSpecial1TypeTranslated,WeatherSpecial2Type,WeatherSpecial2TypeTranslated,WeatherSpecial3Type,WeatherSpecial3TypeTranslated,TimeFrameDay,TimeFrameSunset,TimeFrameNight,Stars,Mission,Species,SpeciesTranslated,Intuition,FabledTable,Route1,Route2,Route3,Route4,Route5,Route6,Route7,Route8,Route9
One River,무이강,T!Gensui Shrimp,겐스이 새우,3 - 4,3 - 4,3 - 4,5 - 8,3 - 4,,Stonefly Nymph,강도래 유충,,,Ragworm,바위털갯지렁이,85,4,7,!,Precision,섬세한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,H,Shrimp,새우,,Yes,No,Yes,No,No,Yes,No,No,Yes,No
One River,무이강,Yato-no-kami,야토노카미,2 - 3,2 - 3,2 - 3,4 - 6,5 - 6,,Stonefly Nymph,강도래 유충,,,Plump Worm,굵은지렁이,79,2,3,!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,No,Yes,No,No,Yes,No,No,Yes,No
One River,무이강,Heron's Eel,왜가리 장어,3 - 4,3 - 4,3 - 4,5 - 8,3 - 4,,Stonefly Nymph,강도래 유충,,,Plump Worm,굵은지렁이,79,2,3,!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,No,Yes,No,No,Yes,No,No,Yes,No
One River,무이강,Crowshadow Mussel,까마귀조개,4.5 - 7,4.5 - 7,4.5 - 7,7 - 10,7 - 11,,Stonefly Nymph,강도래 유충,,,Ragworm,바위털갯지렁이,85,4,7,!,Precision,섬세한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,M,Shellfish,조개,,Yes,No,Yes,No,No,Yes,No,No,Yes,No
One River,무이강,T!Yanxian Goby,무이 망둥이,2 - 3,2 - 3,2 - 3,4 - 6,2 - 3,,Stonefly Nymph,강도래 유충,,,Ragworm,바위털갯지렁이,85,2,3,!,Precision,섬세한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,No,Yes,No,No,Yes,No,No,Yes,No
One River,무이강,Iridescent Trout,홍예송어,,5 - 6,,7 - 8,,,Stonefly Nymph,강도래 유충,,,Krill,크릴,184,2,3,!,Precision,섬세한 낚아채기,,,,,,,,,,,,,,No,Yes,No,4,,,,,No,No,No,No,No,Yes,No,No,No,No
One River,무이강,Un-Namazu,회귀 나마즈오,,5 - 6,,7 - 8,,,Stonefly Nymph,강도래 유충,,,Krill,크릴,209,2,3,!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,No,No,Yes,4,,,,,No,No,No,No,No,No,No,No,Yes,No
One River,무이강,Gakugyo,악어어,,,6 - 8,8 - 9,,,Stonefly Nymph,강도래 유충,,,Plump Worm,굵은지렁이,185,2,3,!!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,No,No,Yes,4,,,,,No,No,No,No,No,No,No,No,Yes,No
One River,무이강,Ginrin Goshiki,오색 은비늘,,5 - 6,,7 - 8,,,Stonefly Nymph,강도래 유충,,,Krill,크릴,209,2,3,!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,No,Yes,No,4,,,,,No,No,No,No,No,Yes,No,No,No,No
One River,무이강,F!Jewel of Plum Spring,매천의 보물,,,,,5 - 8,,Stonefly Nymph,강도래 유충,,,Stonefly Nymph,강도래 유충,500,1,1,!!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,Yes,No,No,5,,,,"(15s) x2 <img class=""iconMini"" src=""../img/fish/Yanxian Goby.png"" alt=""Yanxian Goby"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Yanxian Goby"" tabindex=""0""> + x1 <img class=""iconMini"" src=""../img/fish/Gensui Shrimp.png"" alt=""Gensui Shrimp"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Gensui Shrimp"" tabindex=""0"">",Yes,No,Yes,No,No,No,No,No,No,No
Unnamed,Unnamed Island Island,First Mate's Finger,선장의 손가락,7 - 9,7 - 9,7 - 9,,,,,,,,Ragworm,바위털갯지렁이,10,3,5,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,1,N,Mantis,갯가재,,Yes,Yes,No,No,Yes,No,No,Yes,No,No
Unnamed,Unnamed Island,Specterfish,그림자요괴어,6 - 8,6 - 8,6 - 8,,,,,,,,Krill,크릴,15,2,3,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,No,No,,Yes,Rain,비,Showers,폭우,,,,,,1,,,,,No,Yes,No,No,Yes,No,No,Yes,No,No
Unnamed,Unnamed Island,Rhotano Permit,로타노 무점매가리,10 - 13,10 - 13,10 - 13,,,,,,,,Plump Worm,굵은지렁이,11,2,3,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,1,,,,,No,Yes,No,No,Yes,No,No,Yes,No,No
Unnamed,Unnamed Island,T!Rhotano Dahlia,로타노 달리아,16 - 19,11 - 14,16 - 19,,,,,,,,Krill,크릴,35,2,3,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,2,,,,,No,Yes,No,No,Yes,No,No,Yes,No,No
Unnamed,Unnamed Island,Lodesmate's Pen,항해사의 펜,21 - 25,16 - 20,21 - 25,,,,,,,,Krill,크릴,35,2,3,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,No,,Yes,Rain,비,Showers,폭우,,,,,,2,,,,,No,Yes,No,No,Yes,No,No,Yes,No,No
Unnamed,Unnamed Island,Rhotano Roosterfish,로타노 수탉고기,20 - 24,20 - 24,15 - 19,,,,,,,,Plump Worm,굵은지렁이,40,2,3,!!,Powerful,강력한 낚아채기,Yes,No,No,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,2,,,,,No,Yes,No,No,Yes,No,No,Yes,No,No
Unnamed,Unnamed Island,Rhotanosaurus,로타노사우루스,21 - 26,21 - 26,21 - 26,,,,,,,,Plump Worm,굵은지렁이,59,3,5,!!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,3,P,Prehistoric,고대 생물,,Yes,Yes,No,No,Yes,No,No,Yes,No,No
Unnamed,Unnamed Island,Royal Handmaiden,여왕의 사절,12 - 14,13 - 15,13 - 15,,,,,,,,Ragworm,바위털갯지렁이,52,2,3,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,3,,,,,No,Yes,No,No,Yes,No,No,Yes,No,No
Unnamed,Unnamed Island,Spectral Starfish,유령 불가사리,16 - 19,16 - 19,16 - 19,,,,,,,,Ragworm,바위털갯지렁이,100,1,1,!!!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,,No,Rain,비,Showers,폭우,,,,,,4,,,,,Yes,Yes,No,No,Yes,No,No,Yes,No,No
Unnamed,Unnamed Island,I!Frolicsome Fish,생선 선생,13 - 14,,,,,,,,,,Ragworm,바위털갯지렁이,236,1,1,!!!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,4,,,,"(60s) x3 <img class=""iconMini"" src=""../img/fish/Rhotano Dahlia.png"" alt=""Rhotano Dahlia"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Rhotano Dahlia"" tabindex=""0"">",No,Yes,No,No,Yes,No,No,Yes,No,No
Unnamed,Unnamed Island,Captain's Finger,대선장의 손가락,2 - 3,,,,,,,,,,Ragworm,바위털갯지렁이,86,4,7,!,Precision,섬세한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,N,Mantis,갯가재,,No,No,No,No,Yes,No,No,Yes,No,No
Unnamed,Unnamed Island,Bright Red Coral,진홍산호,4 - 5,4 - 5,4 - 5,,,,,,,,Krill,크릴,84,2,3,!,Precision,섬세한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,No,No,Yes,No,No,Yes,No,No
Unnamed,Unnamed Island,Royal Favorite,여왕의 대사,4 - 5,4 - 5,4 - 5,,,,,,,,Ragworm,바위털갯지렁이,69,2,3,!,Precision,섬세한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,No,No,Yes,No,No,Yes,No,No
Unnamed,Unnamed Island,Pirate's Purse,해적지갑,6 - 7,,,,,,,,,,Ragworm,바위털갯지렁이,199,2,3,!,Precision,섬세한 낚아채기,,,,,,,,,,,,,,No,No,Yes,4,,,,,No,No,No,No,Yes,No,No,No,No,No
Unnamed,Unnamed Island,M!T!Captain's Pen,선장의 펜,3 - 4,3 - 4,3 - 4,,,,,,,,Krill,크릴,58,2,3,!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,Yes,No,No,Yes,No,No,Yes,No,No
Unnamed,Unnamed Island,Tylosaurus,틸로사우루스,3 - 4,3 - 4,3 - 4,,,3 - 4,,,M!T!Captain's Pen,M!T!Captain's Pen,Plump Worm,굵은지렁이,68,3,5,!!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,P,Prehistoric,고대 생물,,Yes,Yes,No,No,Yes,No,No,Yes,No,No
Unnamed,Unnamed Island,M!Cieldalaes Roosterfish,시엘달레 수탉고기,,,,,,4.5 - 5,,,M!T!Captain's Pen,M!T!Captain's Pen,M!T!Captain's Pen,선장의 펜,100,2,3,!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,Yes,No,No,Yes,No,No,Yes,No,No
Unnamed,Unnamed Island,Renegade Rhotanosaurus,검은 로타노사우루스,,,5 - 6,,,,,,M!T!Captain's Pen,M!T!Captain's Pen,Plump Worm,굵은지렁이,160,4,7,!!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,No,Yes,No,4,P,Prehistoric,고대 생물,,No,Yes,No,No,No,No,No,No,No,No
Unnamed,Unnamed Island,Red Boarfish,붉은 병치돔,,6 - 7,,,,,,,,,Krill,크릴,200,2,3,!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,Yes,No,No,4,,,,,No,No,No,No,No,No,No,Yes,No,No
Unnamed,Unnamed Island,F!Akupara,세계거북,,,,,,6 - 8,,,M!Cieldalaes Roosterfish,M!Cieldalaes Roosterfish,M!Cieldalaes Roosterfish,시엘달레 수탉고기,500,1,1,!!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,No,Yes,No,5,P,Prehistoric,고대 생물,"(20s) x2 <img class=""iconMini"" src=""../img/fish/Cieldalaes Roosterfish.png"" alt=""Cieldalaes Roosterfish"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Cieldalaes Roosterfish"" tabindex=""0"">",Yes,Yes,No,No,No,No,No,No,No,No
Thavnair,Thavnair,T!Red Mantis,붉은 갯가재,7 - 9,7 - 9,7 - 9,,,,,,,,Ragworm,바위털갯지렁이,8,3,5,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,1,N,Mantis,갯가재,,No,Yes,No,No,Yes,No,No,Yes,No,No
Thavnair,Thavnair,Datli Gwl,달콤장미게,6 - 8,6 - 8,6 - 8,,,,,,,,Krill,크릴,9,2,3,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,1,,,,,Yes,Yes,No,No,Yes,No,No,Yes,No,No
Thavnair,Thavnair,Agama's Strand,아가마의 흰 수염,4 - 5,4 - 5,4 - 5,,,,,,,,Ragworm,바위털갯지렁이,13,2,3,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,No,No,,Yes,Rain,비,Showers,폭우,,,,,,1,,,,,No,Yes,No,No,Yes,No,No,Yes,No,No
Thavnair,Thavnair,Palaka's Blade,팔라카 칼날어,12 - 15,17 - 20,17 - 20,,,,,,,,Ragworm,바위털갯지렁이,36,2,3,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,No,,Yes,Rain,비,Showers,폭우,,,,,,2,,,,,No,Yes,No,No,Yes,No,No,Yes,No,No
Thavnair,Thavnair,Parjanya Wrasse,파르자냐 놀래기,9.5 - 10,4 - 5,9.5 - 10,,,,,,,,Krill,크릴,31,2,3,!!,Powerful,강력한 낚아채기,Yes,No,No,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,2,,,,,No,Yes,No,No,Yes,No,No,Yes,No,No
Thavnair,Thavnair,Simolestes,시몰레스테스,18 - 21,18 - 21,13 - 16,,,,,,,,Plump Worm,굵은지렁이,27,3,5,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,2,P,Prehistoric,고대 생물,,No,Yes,No,No,Yes,No,No,Yes,No,No
Thavnair,Thavnair,Thavnasaurus,사베네어사우루스,17 - 21,17 - 21,17 - 21,,,,,,,,Plump Worm,굵은지렁이,48,3,5,!!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,3,P,Prehistoric,고대 생물,,Yes,Yes,No,No,Yes,No,No,Yes,No,No
Thavnair,Thavnair,Junior Jinbei,고래상어,10 - 11,10 - 11,10 -11,,,,,,,,,,300,1,1,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,4,,,,,No,Yes,No,No,Yes,No,No,Yes,No,No
Thavnair,Thavnair,Spectral Grouper,유령 참바리,10 - 11,10 - 11,10 - 11,,,,,,,,Krill,크릴,100,1,1,!!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,,No,Rain,비,Showers,폭우,,,,,,4,,,,,Yes,Yes,No,No,Yes,No,No,Yes,No,No
Thavnair,Thavnair,I!Silkfin,풍어 비단,,13 - 16,,,,,,,,,Krill,크릴,210,1,1,!!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,4,,,,"(60s) x3 <img class=""iconMini"" src=""../img/fish/Red Mantis.png"" alt=""Red Mantis"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Red Mantis"" tabindex=""0"">",No,Yes,No,No,Yes,No,No,Yes,No,No
Thavnair,Thavnair,Great Red Mantis,대왕 붉은 갯가재,2 - 3,2 - 3,2 - 3,,5 - 6,,Rat Tail,쥐꼬리,,,Ragworm,바위털갯지렁이,75,3,5,!,Precision,섬세한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,N,Mantis,갯가재,,No,Yes,No,No,Yes,No,No,Yes,No,No
Thavnair,Thavnair,Guzel Gwl,황홀장미게,3 - 4,3 - 4,3 - 4,,3 - 4,,Rat Tail,쥐꼬리,,,Krill,크릴,70,2,3,!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,No,No,Yes,No,No,Yes,No,No
Thavnair,Thavnair,Darpana,거울눈고기,4 - 5,4 - 5,4 - 5,,,,Rat Tail,쥐꼬리,,,Krill,크릴,92,2,3,!,Precision,섬세한 낚아채기,,,,,,,,,,,,,,Yes,No,No,4,,,,,No,Yes,No,No,No,No,No,No,No,No
Thavnair,Thavnair,Silverdart,은빛다트,,5 - 6,,,,,Rat Tail,쥐꼬리,,,Krill,크릴,164,2,3,!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,No,Yes,No,4,,,,,No,No,No,No,Yes,No,No,No,No,No
Thavnair,Thavnair,T!Satrapsaurus,라자한사우루스,2 - 3,2 - 3,2 - 3,,5.5+,,Rat Tail,쥐꼬리,,,Plump Worm,굵은지렁이,70,3,5,!!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,P,Prehistoric,고대 생물,,Yes,Yes,No,No,Yes,No,No,Yes,No,No
Thavnair,Thavnair,Tiger Mantis,호랑갯가재,6 - 7,,,,,,Rat Tail,쥐꼬리,,,Ragworm,바위털갯지렁이,150,4,7,!,Precision,섬세한 낚아채기,,,,,,,,,,,,,,No,Yes,Yes,4,N,Mantis,갯가재,,No,No,No,No,Yes,No,No,Yes,No,No
Thavnair,Thavnair,Mehi-mahi,한가히마히마히,4 - 5,4 - 5,4 - 5,,4 - 5,,Rat Tail,쥐꼬리,,,Plump Worm,굵은지렁이,70,2,3,!!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,Yes,No,No,Yes,No,No,Yes,No,No
Thavnair,Thavnair,Junior Jinbei,고래상어,10 - 11,10 - 11,10 - 11,,,,Rat Tail,쥐꼬리,,,,,300,1,1,!,Precision,섬세한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,No,No,Yes,No,No,Yes,No,No
Thavnair,Thavnair,Pliosaurus,플리오사우루스,,,6 - 7,,,,Rat Tail,쥐꼬리,,,Plump Worm,굵은지렁이,204,4,7,!!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,Yes,No,No,4,P,Prehistoric,고대 생물,,No,Yes,No,No,No,No,No,No,No,No
Thavnair,Thavnair,F!Manasvin,마나스빈,,,,,9 – 12,,Rat Tail,쥐꼬리,,,Rat Tail,Rat Tail,500,1,1,!!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,No,No,Yes,5,,,,"(15s) x3 <img class=""iconMini"" src=""../img/fish/Satrapsaurus.png"" alt=""Satrapsaurus"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Satrapsaurus"" tabindex=""0"">",Yes,No,No,No,No,No,No,Yes,No,No
